0:0:0:0:0:0:0:1 - - [28/May/2019:11:34:11 +0900] "GET /edu/cssexam/exam2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:11:34:12 +0900] "GET /edu/cssexam/exam2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:11:34:13 +0900] "GET /edu/cssexam/exam2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:11:34:13 +0900] "GET /edu/cssexam/exam2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:11:34:13 +0900] "GET /edu/cssexam/exam2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:11:34:13 +0900] "GET /edu/cssexam/exam2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:11:34:13 +0900] "GET /edu/cssexam/exam2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:11:34:14 +0900] "GET /edu/cssexam/exam2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:11:34:14 +0900] "GET /edu/cssexam/exam2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:11:34:14 +0900] "GET /edu/cssexam/exam2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:11:34:14 +0900] "GET /edu/cssexam/exam2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:11:34:14 +0900] "GET /edu/cssexam/exam2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:11:34:15 +0900] "GET /edu/cssexam/exam2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:11:34:15 +0900] "GET /edu/cssexam/exam2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:11:34:15 +0900] "GET /edu/cssexam/exam2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:11:34:15 +0900] "GET /edu/cssexam/exam2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:11:34:15 +0900] "GET /edu/cssexam/exam2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:11:34:15 +0900] "GET /edu/cssexam/exam2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:11:34:16 +0900] "GET /edu/cssexam/exam2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:11:34:16 +0900] "GET /edu/cssexam/exam2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:11:34:16 +0900] "GET /edu/cssexam/exam2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:11:34:16 +0900] "GET /edu/cssexam/exam2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:11:34:41 +0900] "GET /edu/cssexam/exam2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:11:35:10 +0900] "GET /edu/cssexam/exam2.html HTTP/1.1" 200 447
