70.12.113.172 - - [11/Jun/2019:14:37:11 +0900] "GET /edu/bonobono/bn7.png HTTP/1.1" 404 1143
70.12.113.172 - - [11/Jun/2019:14:37:11 +0900] "GET /edu/bonobono/bn9.png HTTP/1.1" 404 1143
70.12.113.172 - - [11/Jun/2019:14:37:11 +0900] "GET /edu/bonobono/bn8.png HTTP/1.1" 404 1143
70.12.113.172 - - [11/Jun/2019:14:37:11 +0900] "GET /edu/bonobono/bn12.png HTTP/1.1" 404 1144
70.12.113.172 - - [11/Jun/2019:14:37:11 +0900] "GET /edu/bonobono/bn11.png HTTP/1.1" 404 1144
70.12.113.172 - - [11/Jun/2019:14:37:11 +0900] "GET /edu/bonobono/bn10.png HTTP/1.1" 404 1144
70.12.113.172 - - [11/Jun/2019:14:37:11 +0900] "GET /edu/bonobono/bn13.png HTTP/1.1" 404 1144
70.12.113.172 - - [11/Jun/2019:14:37:11 +0900] "GET /edu/bonobono/bn14.png HTTP/1.1" 404 1144
70.12.113.172 - - [11/Jun/2019:14:37:11 +0900] "GET /edu/bonobono/bn15.png HTTP/1.1" 404 1144
70.12.113.172 - - [11/Jun/2019:14:37:11 +0900] "GET /edu/bonobono/bn16.png HTTP/1.1" 404 1144
70.12.113.172 - - [11/Jun/2019:14:37:11 +0900] "GET /edu/ajaxexam/content/weather.jsp HTTP/1.1" 200 233
70.12.113.172 - - [11/Jun/2019:14:37:26 +0900] "GET /edu/exam_all.html HTTP/1.1" 304 -
70.12.113.172 - - [11/Jun/2019:14:37:26 +0900] "GET /edu/bonobono/bn1.png HTTP/1.1" 404 1143
70.12.113.172 - - [11/Jun/2019:14:37:26 +0900] "GET /edu/bonobono/bn2.png HTTP/1.1" 404 1143
70.12.113.172 - - [11/Jun/2019:14:37:26 +0900] "GET /edu/bonobono/bn3.png HTTP/1.1" 404 1143
70.12.113.172 - - [11/Jun/2019:14:37:26 +0900] "GET /edu/bonobono/bn4.png HTTP/1.1" 404 1143
70.12.113.172 - - [11/Jun/2019:14:37:26 +0900] "GET /edu/bonobono/bn5.png HTTP/1.1" 404 1143
70.12.113.172 - - [11/Jun/2019:14:37:26 +0900] "GET /edu/bonobono/bn6.png HTTP/1.1" 404 1143
70.12.113.172 - - [11/Jun/2019:14:37:26 +0900] "GET /edu/bonobono/bn7.png HTTP/1.1" 404 1143
70.12.113.172 - - [11/Jun/2019:14:37:26 +0900] "GET /edu/bonobono/bn8.png HTTP/1.1" 404 1143
70.12.113.172 - - [11/Jun/2019:14:37:26 +0900] "GET /edu/bonobono/bn9.png HTTP/1.1" 404 1143
70.12.113.172 - - [11/Jun/2019:14:37:26 +0900] "GET /edu/bonobono/bn10.png HTTP/1.1" 404 1144
70.12.113.172 - - [11/Jun/2019:14:37:26 +0900] "GET /edu/bonobono/bn11.png HTTP/1.1" 404 1144
70.12.113.172 - - [11/Jun/2019:14:37:26 +0900] "GET /edu/bonobono/bn12.png HTTP/1.1" 404 1144
70.12.113.172 - - [11/Jun/2019:14:37:26 +0900] "GET /edu/bonobono/bn13.png HTTP/1.1" 404 1144
70.12.113.172 - - [11/Jun/2019:14:37:26 +0900] "GET /edu/bonobono/bn14.png HTTP/1.1" 404 1144
70.12.113.172 - - [11/Jun/2019:14:37:26 +0900] "GET /edu/bonobono/bn15.png HTTP/1.1" 404 1144
70.12.113.172 - - [11/Jun/2019:14:37:26 +0900] "GET /edu/bonobono/bn16.png HTTP/1.1" 404 1144
70.12.113.172 - - [11/Jun/2019:14:37:26 +0900] "GET /edu/ajaxexam/content/weather.jsp HTTP/1.1" 200 233
70.12.113.172 - - [11/Jun/2019:14:38:43 +0900] "GET /edu/exam_all.html HTTP/1.1" 304 -
70.12.113.172 - - [11/Jun/2019:14:38:43 +0900] "GET /edu/bonobono/bn1.png HTTP/1.1" 404 1143
70.12.113.172 - - [11/Jun/2019:14:38:43 +0900] "GET /edu/bonobono/bn3.png HTTP/1.1" 404 1143
70.12.113.172 - - [11/Jun/2019:14:38:43 +0900] "GET /edu/bonobono/bn4.png HTTP/1.1" 404 1143
70.12.113.172 - - [11/Jun/2019:14:38:43 +0900] "GET /edu/bonobono/bn2.png HTTP/1.1" 404 1143
70.12.113.172 - - [11/Jun/2019:14:38:43 +0900] "GET /edu/bonobono/bn5.png HTTP/1.1" 404 1143
70.12.113.172 - - [11/Jun/2019:14:38:43 +0900] "GET /edu/bonobono/bn6.png HTTP/1.1" 404 1143
70.12.113.172 - - [11/Jun/2019:14:38:43 +0900] "GET /edu/bonobono/bn7.png HTTP/1.1" 404 1143
70.12.113.172 - - [11/Jun/2019:14:38:43 +0900] "GET /edu/bonobono/bn9.png HTTP/1.1" 404 1143
70.12.113.172 - - [11/Jun/2019:14:38:43 +0900] "GET /edu/bonobono/bn10.png HTTP/1.1" 404 1144
70.12.113.172 - - [11/Jun/2019:14:38:43 +0900] "GET /edu/bonobono/bn8.png HTTP/1.1" 404 1143
70.12.113.172 - - [11/Jun/2019:14:38:43 +0900] "GET /edu/bonobono/bn11.png HTTP/1.1" 404 1144
70.12.113.172 - - [11/Jun/2019:14:38:43 +0900] "GET /edu/bonobono/bn12.png HTTP/1.1" 404 1144
70.12.113.172 - - [11/Jun/2019:14:38:43 +0900] "GET /edu/bonobono/bn13.png HTTP/1.1" 404 1144
70.12.113.172 - - [11/Jun/2019:14:38:43 +0900] "GET /edu/bonobono/bn16.png HTTP/1.1" 404 1144
70.12.113.172 - - [11/Jun/2019:14:38:43 +0900] "GET /edu/bonobono/bn15.png HTTP/1.1" 404 1144
70.12.113.172 - - [11/Jun/2019:14:38:43 +0900] "GET /edu/bonobono/bn14.png HTTP/1.1" 404 1144
70.12.113.172 - - [11/Jun/2019:14:38:44 +0900] "GET /edu/ajaxexam/content/weather.jsp HTTP/1.1" 200 233
70.12.113.172 - - [11/Jun/2019:14:38:57 +0900] "GET /edu/exam_all.html HTTP/1.1" 304 -
70.12.113.172 - - [11/Jun/2019:14:38:57 +0900] "GET /edu/bonobono/bn1.png HTTP/1.1" 404 1143
70.12.113.172 - - [11/Jun/2019:14:38:57 +0900] "GET /edu/bonobono/bn2.png HTTP/1.1" 404 1143
70.12.113.172 - - [11/Jun/2019:14:38:57 +0900] "GET /edu/bonobono/bn3.png HTTP/1.1" 404 1143
70.12.113.172 - - [11/Jun/2019:14:38:57 +0900] "GET /edu/bonobono/bn6.png HTTP/1.1" 404 1143
70.12.113.172 - - [11/Jun/2019:14:38:57 +0900] "GET /edu/bonobono/bn5.png HTTP/1.1" 404 1143
70.12.113.172 - - [11/Jun/2019:14:38:57 +0900] "GET /edu/bonobono/bn4.png HTTP/1.1" 404 1143
70.12.113.172 - - [11/Jun/2019:14:38:57 +0900] "GET /edu/bonobono/bn7.png HTTP/1.1" 404 1143
70.12.113.172 - - [11/Jun/2019:14:38:57 +0900] "GET /edu/bonobono/bn8.png HTTP/1.1" 404 1143
70.12.113.172 - - [11/Jun/2019:14:38:57 +0900] "GET /edu/bonobono/bn9.png HTTP/1.1" 404 1143
70.12.113.172 - - [11/Jun/2019:14:38:57 +0900] "GET /edu/bonobono/bn10.png HTTP/1.1" 404 1144
70.12.113.172 - - [11/Jun/2019:14:38:57 +0900] "GET /edu/bonobono/bn11.png HTTP/1.1" 404 1144
70.12.113.172 - - [11/Jun/2019:14:38:57 +0900] "GET /edu/bonobono/bn12.png HTTP/1.1" 404 1144
